ps2_real_address,class,method_signature,source_file,profiling_offset
00319d70,CB3CrashCombo,"OnCrashStart(const CB3CrashStartInfo*)",,208
00319ff0,CB3CrashCombo,UpdateCollidingPairs(),,208
0031a1d0,CB3CrashCombo,ResetData(),,144
00335150,CB3OnlineTrackRecordsMenuPage,Update(),,240
0034e580,CB3OfflineStageLogic,Prepare(),,240
00350130,CB3OnlineOpenLobbyPage,OnKeyboardCancel(),,240
003765e0,CB3PostEventPage,Prepare(bool),,144
0012ed00,CB3ControllerMapping,GetLookBack(),,192
0013d5d0,CB3AIAvoidanceMap,Prepare(CB3AICar*),,208
00140400,CB3AICar,UpdateAttributes(),,208
00140780,CB3AICar,StopCrashing(),,208
00145c80,CB3AITarget,ResetTarget(),,208
00149d10,CB3AITarget,ResetCornerStatus(),,208
0014cae0,CB3PlayerCar,StopCrashing(),,192
0014cde0,CB3PlayerCar,Prepare(),,192
0014dfb0,CB3RaceCar,StopCrashing(),,192
0016c260,CB3HUDSpriteUVs,"Construct(const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,unsigned int)",,208
0016cba0,CB3HUDManager,PrepareCrashComponents(),,144
0024d910,CB3SoundPlayerCar,"UpdateRoadNoise(const CB3RaceCar*)",,208
002ee7f0,CB3DemoRaceInfoPage,Prepare(),,160
0033f990,CB3DPad2dObject,"Prepare(const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,unsigned int)",,160
0037e2d0,CB3CrashScore,CalcPlayerMultiplier(int),,256
0037e460,CB3CrashScore,CalcCrashCarsScore(int),,240
0039e6f0,CB3MyBurnoutProfileSavePage,OnKeyboardDone(),,208
002cfd70,CB3MainMenuState,"Action(EGtStateAction,void*,void*,void*)",,144
002d8ec0,CB3HeadingComponent,"SetAwardHeadingString(const unsigned short*)",,240
002eb110,CB3DemoSelectState,"Action(EGtStateAction,void*,void*,void*)",,224
0031dcc0,CB3StageSelectPage,PrepareChampionshipSelection(int),,176
0031f0e0,CB3ScoreBonus,OnCrashEscape(int),,176
00332e00,CB3PlayerCameraStateEditor,"Action(EGtStateAction,void*,void*,void*)",,176
00357b20,CB3OnlineGameOptionsPage,GenerateRandomJunction(),,144
003a7600,CB3OnlineEndOfRaceState,"DealWithSecondResultsPageEvent(EGtStateAction,void*,void*,void*)",,208
003a80b0,CB3OnlineEndOfRaceState,"Action(EGtStateAction,void*,void*,void*)",,256
003c5f60,CB3MemCardControllerBase,"Save(unsigned int,unsigned short*,int)",,160
0016fbb0,CB3HUDSpeedo,Update(float),,176
00229550,CB3TrafficValve,"UpdateGeneration(int,int,unsigned short,float)",,208
0024ced0,CB3SoundManager,Prepare(),,144
002d0750,CB3OnlineLobbyState,HandleInLobbyEvents(EB3MenuFlowFSMEvents),,160
00355c80,CB3EventSummaryComponent,"PrepareOnlineWaitForPlayers(bool,bool)",,224
0035cae0,CB3HUDCrashStyle,Update(float),,224
0036df60,CB3ChampionshipChallenge,OnChallengeRestart(),,240
00376be0,CB3PostEventRewardsPage,Update(),,160
0016de80,CB3HUDScore,"ShowScore(CB3HUDScore::EScoreEvent,int)",,240
001dfa50,CB3MenuInput,"Update(float,CB3ControllerMapping*)",,224
002f1170,CB3DemoTitleScreenState,"Action(EGtStateAction,void*,void*,void*)",,192
002fece0,CB3OnlineOpenConnectionState,"Action(EGtStateAction,void*,void*,void*)",,240
0034b660,CB3OnlineStageLogic,UpdateWaitInitCountdownHost(),,224
0035e5b0,CB3ReplaySymbolComponent,Release(),,160
00386d90,CB3HUDImpactTime,Update(float),,240
003a0500,CB3MyBurnoutRecordsPage,Update(),,208
003a7410,CB3RewardImageComponent,"GetUnlockedRewardString(EB3RewardImageType,int)",,224
00332600,CB3CameraEditor,"LoadMungedKeyFrames(void*,EB3KeyFrameType)",,176
002f10d0,CB3DemoTitleScreenPage,Prepare(),,240
0031c2d0,CB3BuddyDisplayComponent,SendingMail(char*),,144
003350d0,CB3ScrapeRenderer,Construct(),,192
003478b0,CB3OfflineBurningLapLogic,Prepare(),,144
0034c1a0,CB3OnlineTurnBasedCrashLogic,GetResultsPageType(),,240
0034cc40,CB3OfflineSingleCrashLogic,StartReplay(),,144
0037c490,CB3OPMDemoTitleScreenState,"Action(EGtStateAction,void*,void*,void*)",,240
003a3610,CB3MyBurnoutSettingsControllerPage,Prepare(),,208
003a3dc0,CB3MyBurnoutSettingsScreenPosPage,Prepare(),,144
003a44c0,CB3MyBurnoutProfileCreateNewPage,OnKeyboardDone(),,208
003a9e30,CB3OnlineCrashResultsPage,SetPrompts(unsigned int),,256
00150920,CB3RacePosition,Update(),,192
00159520,CB3SplitTimeCheckpoint,Prepare(CB3PlanarTriggerStruct*),,176
