source_file,string_address,function_address
"HUD\CHudComponentPlacing.cpp",0051ce00,00038010
"HUD\CHudComponentPlacing.cpp",0051cea8,000380b0
"HUD\CHudComponentPos.cpp",0051d5a8,00038240
"HUD\CHudComponentScore.cpp",0051dc88,00038820
"HUD\CHudComponentScore.cpp",0051dd00,00038820
"HUD\CHudComponentScore.cpp",0051dd88,00038820
"HUD\CHudComponentScore.cpp",0051de10,00038820
"HUD\CHudComponentScore.cpp",0051de80,00038820
"HUD\CHudComponentScore.cpp",0051df18,00038590
"HUD\CHudComponentScore.cpp",0051dfa0,000385f0
"HUD\CHudComponentScore.cpp",0051e018,00038ea0
"HUD\CHudComponentSeparator.cpp",0051e708,00038f10
"HUD\CHudComponentSeparator.cpp",0051e770,00039090
"HUD\CHudComponentSpeedo.cpp",0051ee88,000396f0
"HUD\CHudComponentSpeedo.cpp",0051ef00,000396f0
"HUD\CHudComponentSpeedo.cpp",0051ef98,000396f0
"HUD\CHudComponentSpeedo.cpp",0051f018,000396f0
"HUD\CHudComponentSpeedo.cpp",0051f0b0,0003ace0
"HUD\CHudComponentSpeedo.cpp",0051f130,0003ace0
"HUD\CHudComponentSpeedo.cpp",0051f1e0,0003b860
"HUD\CHudComponentSpeedo.cpp",0051f258,0003b860
"HUD\CHudComponentSpeedo.cpp",0051f2f0,0003b860
"HUD\CHudComponentSpeedo.cpp",0051f370,0003b860
"HUD\CHudComponentSpeedo.cpp",0051f408,000390c0
"HUD\CHudComponentSpeedo.cpp",0051f4c0,00039120
"HUD\CHudComponentSpeedo.cpp",0051f570,00039120
"HUD\CHudComponentSpeedo.cpp",0051f600,000391e0
"HUD\CHudComponentSpeedo.cpp",0051f668,000391e0
"HUD\CHudComponentSpeedo.cpp",0051f6f8,000391e0
"HUD\CHudComponentSplitTimes.cpp",0051fe10,0003d380
"HUD\CHudComponentSplitTimes.cpp",0051fe90,0003d380
"HUD\CHudComponentSplitTimes.cpp",0051ff20,0003d380
"HUD\CHudComponentSplitTimes.cpp",0051ffb0,0003d380
"HUD\CHudComponentSplitTimes.cpp",00520040,0003d380
"HUD\CHudComponentSplitTimes.cpp",005200d0,0003d380
"HUD\CHudComponentSplitTimes.cpp",00520160,0003d380
"HUD\CHudComponentSplitTimes.cpp",005201f0,0003d380
"HUD\CHudComponentSplitTimes.cpp",00520280,0003d380
"HUD\CHudComponentSplitTimes.cpp",00520310,0003d380
"HUD\CHudComponentSplitTimes.cpp",00520390,0003d380
"HUD\CHudComponentSplitTimes.cpp",00520420,0003d380
"HUD\CHudComponentSplitTimes.cpp",005204c0,0003ca50
"HUD\CHudComponentSplitTimes.cpp",00520548,0003cab0
"HUD\CHudComponentSplitTimes.cpp",005205e0,0003cbc0
"HUD\CHudComponentSplitTimes.cpp",00520658,0003cbc0
"HUD\CHudComponentText.cpp",00520d60,0003eb00
"HUD\CHudComponentTotalTime.cpp",00521460,0003ed90
"HUD\CHudComponentTotalTime.cpp",00521518,0003efb0
"HUD\CHudComponentTotalTime.cpp",00521590,0003f0d0
"HUD\CHudComponentTotalTime.cpp",00521610,0003f0d0
"HUD\CHud.cpp",00514fe4,0002c250
"main_xbx.cpp",004e063c,000123c0
"Menu\CHeading2Text.cpp",00521cf0,0003f730
"Menu\CHeading2Text.cpp",00521d60,0003f730
"Menu\CMenuAudio.cpp",00522380,0003fae0
"Menu\CMenuGfxComponentBackdrop.cpp",00528938,00041fe0
"Menu\CMenuGfxComponentBorder.cpp",00529058,00042420
"Menu\CMenuGfxComponentButtonList.cpp",00529790,00042d10
"Menu\CMenuGfxComponentButtonListExtended.cpp",00529f40,00043ec0
"Menu\CMenuGfxComponentButtons.cpp",0052a640,00045580
"Menu\CMenuGfxComponentButtons.cpp",0052aaa8,00045830
"Menu\CMenuGfxComponentCar.cpp",0052adc0,00046830
"Menu\CMenuGfxComponentCar.cpp",0052ae38,00045ca0
"Menu\CMenuGfxComponentCar.cpp",0052aeb0,00045ca0
